site_id,site_name,experiment,experiment_label,rmse_hydra,rmse_improvement_pct,nse_hydra,kge_hydra,pbias_hydra
03161000,"Jefferson, NC",hydra_v3_nwm_era5,Hydra v3,14.34,8.5,0.524,0.429,-20.51
03161000,"Jefferson, NC",hydra_v3_causal,Hydra v3 + Causal Mask,12.64,19.4,0.630,0.512,-19.99
03161000,"Jefferson, NC",hydra_v3_nonneg,Hydra v3 + Non-Neg,13.89,11.4,0.554,0.524,-20.12
03161000,"Jefferson, NC",hydra_v3_causal_nonneg,Hydra v3 + Causal + Non-Neg,11.41,27.2,0.699,0.637,-16.55
03164000,"Galax, VA",hydra_v3_nwm_era5,Hydra v3,60.61,21.8,0.553,0.685,-10.99
03164000,"Galax, VA",hydra_v3_causal,Hydra v3 + Causal Mask,63.27,18.4,0.513,0.601,-11.44
03164000,"Galax, VA",hydra_v3_nonneg,Hydra v3 + Non-Neg,62.40,19.5,0.526,0.593,-13.58
03164000,"Galax, VA",hydra_v3_causal_nonneg,Hydra v3 + Causal + Non-Neg,66.86,13.8,0.456,0.505,-18.81
03479000,"Sugar Grove, NC",hydra_v3_nwm_era5,Hydra v3,7.53,5.0,0.654,0.655,-10.26
03479000,"Sugar Grove, NC",hydra_v3_causal,Hydra v3 + Causal Mask,7.64,3.5,0.644,0.610,-14.63
03479000,"Sugar Grove, NC",hydra_v3_nonneg,Hydra v3 + Non-Neg,7.75,2.2,0.634,0.619,-9.93
03479000,"Sugar Grove, NC",hydra_v3_causal_nonneg,Hydra v3 + Causal + Non-Neg,7.66,3.3,0.642,0.623,-10.20
